number,author,dependabot,category,title,created_at,merged_at,url
27779,Always-prog,False,other,chore: Fix/remove hardcode of admin role,2024-03-29T08:22:55Z,2026-08-11T17:26:51Z,https://github.com/apache/superset/pull/27779
28171,frassinier,False,feature,feat(a11y): enable ECharts aria-label,2024-04-22T13:38:20Z,2026-08-08T22:36:24Z,https://github.com/apache/superset/pull/28171
28627,rad-pat,False,fix,fix(engine): update databend engine spec for dialect version >=0.4.6,2024-05-21T14:19:10Z,2026-08-06T13:28:16Z,https://github.com/apache/superset/pull/28627
32958,castodius,False,feature,feat(dashboard): expand all chart descriptions,2025-04-01T12:26:32Z,2026-08-06T21:47:31Z,https://github.com/apache/superset/pull/32958
33924,Yash2412,False,feature,feat(security): add guest user attributes and get_guest_user_attribute() macro,2025-06-26T10:20:34Z,2026-08-08T23:56:08Z,https://github.com/apache/superset/pull/33924
35754,gerbermichi,False,dependency,feat(embedded): Add setDataMask API method,2025-10-21T06:56:33Z,2026-08-15T05:07:25Z,https://github.com/apache/superset/pull/35754
35825,greggailly,False,feature,feat(docs): add documentation for usage of minio or other s3 compatible service as a cache backend or celery results backend,2025-10-24T07:14:36Z,2026-08-07T01:36:35Z,https://github.com/apache/superset/pull/35825
36856,htamakos,False,feature,feat(snowflake): Add support for OAuth 2.0 authentication,2025-12-29T15:12:11Z,2026-08-25T04:22:15Z,https://github.com/apache/superset/pull/36856
37014,jayakarkatika,False,fix,fix: Apply timezone offset to convert local time boundaries to UTC,2026-01-09T15:48:31Z,2026-08-08T23:40:31Z,https://github.com/apache/superset/pull/37014
37120,Milad93R,False,fix,fix: Dashboard export with charts from multiple databases,2026-01-14T07:07:06Z,2026-08-28T03:27:54Z,https://github.com/apache/superset/pull/37120
37141,rusackas,False,feature,feat(mobile): Add mobile-friendly dashboard consumption mode,2026-01-14T21:39:17Z,2026-08-13T20:14:11Z,https://github.com/apache/superset/pull/37141
37516,YuriyKrasilnikov,False,fix,fix(api): include query lifecycle timing in /api/v1/chart/data response,2026-01-28T08:22:59Z,2026-08-04T00:27:57Z,https://github.com/apache/superset/pull/37516
38695,sancho11,False,feature,feat(echarts): make bar chart label position user-configurable,2026-03-17T17:04:25Z,2026-08-27T19:10:39Z,https://github.com/apache/superset/pull/38695
38948,FrancescoCastaldi,False,other,chore(i18n): update Italian messages.po translations,2026-03-30T09:23:05Z,2026-08-08T19:40:08Z,https://github.com/apache/superset/pull/38948
38962,itzmzn,False,fix,fix(i18n): add Tamil (ta) locale with corrected catalog path,2026-03-30T21:17:20Z,2026-08-08T19:31:29Z,https://github.com/apache/superset/pull/38962
39506,mistercrunch,False,fix,fix(explore): skip re-fetch when navigating away from /explore,2026-04-21T05:12:39Z,2026-08-25T18:32:25Z,https://github.com/apache/superset/pull/39506
39656,hainenber,False,feature,feat(ci): switch to `ubuntu-slim` runner image for faster startup time when running light CI workloads,2026-04-26T05:15:50Z,2026-08-03T16:31:06Z,https://github.com/apache/superset/pull/39656
39946,mike-lmctl,False,fix,fix: hydrate JWT user before list API filters,2026-05-07T09:07:17Z,2026-08-10T21:18:29Z,https://github.com/apache/superset/pull/39946
40048,kasiazjc,False,fix,fix(ux): use title case for button labels,2026-05-12T11:52:42Z,2026-08-21T03:14:33Z,https://github.com/apache/superset/pull/40048
40238,rusackas,False,other,"docs(perf): add Dashboard Performance guide covering virtualization, lazy tabs, and chart-count guidance",2026-05-19T05:57:34Z,2026-08-14T06:41:00Z,https://github.com/apache/superset/pull/40238
40587,rusackas,False,fix,fix(tasks): gate exception_type in task properties behind SHOW_STACKTRACE,2026-06-01T21:52:37Z,2026-08-05T16:31:31Z,https://github.com/apache/superset/pull/40587
40635,ytihianine,False,other,chore(i18n): update french po file to match latest pot file version,2026-06-01T23:52:18Z,2026-08-08T17:43:30Z,https://github.com/apache/superset/pull/40635
40882,rusackas,False,other,ci: pull CI service images from GHCR mirror (fork-safe) [depends on #40880],2026-06-09T04:16:50Z,2026-08-21T11:11:38Z,https://github.com/apache/superset/pull/40882
41279,thedeceptio,False,feature,feat(multi-value): array-typed column filters with two-tier operators (ClickHouse MVP),2026-06-22T07:38:50Z,2026-08-19T17:56:50Z,https://github.com/apache/superset/pull/41279
41426,sha174n,False,fix,fix(rls): match null-schema datasets in predicate lookup,2026-06-25T15:02:43Z,2026-08-11T02:58:52Z,https://github.com/apache/superset/pull/41426
41437,sadpandajoe,False,other,test(dashboard): migrate drill-to-detail E2E from Cypress to Playwright,2026-06-25T20:32:26Z,2026-08-24T18:44:36Z,https://github.com/apache/superset/pull/41437
41438,sadpandajoe,False,other,test(dashboard): migrate edit-mode component E2E tests to Playwright,2026-06-25T21:02:26Z,2026-08-06T22:22:19Z,https://github.com/apache/superset/pull/41438
41492,rusackas,False,fix,fix(sqllab): use dialect-specific quote chars for autocomplete identifiers,2026-06-27T09:29:02Z,2026-08-13T21:04:39Z,https://github.com/apache/superset/pull/41492
41509,betodealmeida,False,feature,feat(semantic layers): don't show samples tab in explore,2026-06-28T20:07:51Z,2026-08-01T20:03:20Z,https://github.com/apache/superset/pull/41509
41536,durgaprasadml,False,fix,fix(dashboard): remeasure chart description height after markdown render,2026-06-29T17:05:09Z,2026-08-11T20:44:49Z,https://github.com/apache/superset/pull/41536
41550,mikebridge,False,feature,feat(soft-delete): Recently Archived view with restore and permanent delete,2026-06-29T20:32:09Z,2026-08-03T19:21:48Z,https://github.com/apache/superset/pull/41550
41551,mikebridge,False,dependency,feat(versioning): version-history UI,2026-06-29T20:32:23Z,2026-08-04T19:37:46Z,https://github.com/apache/superset/pull/41551
41589,sadpandajoe,False,fix,fix(calendar): clean up d3-tip tooltips,2026-06-30T19:25:42Z,2026-08-10T19:28:07Z,https://github.com/apache/superset/pull/41589
41714,rusackas,False,dependency,chore(viz): remove legacy explore_json + viz.py pipeline,2026-07-03T04:16:28Z,2026-08-06T20:22:15Z,https://github.com/apache/superset/pull/41714
41749,jesperct,False,fix,fix(explore): honor explicit List legend selection instead of flipping to scroll,2026-07-03T14:35:51Z,2026-08-06T06:08:05Z,https://github.com/apache/superset/pull/41749
41780,rusackas,False,feature,"feat(i18n): serve language packs as versioned, immutable-cacheable scripts",2026-07-05T21:47:05Z,2026-08-03T04:59:44Z,https://github.com/apache/superset/pull/41780
41843,gkneighb,False,feature,"feat(security): actionable, request-access-aware data permission errors",2026-07-07T02:53:55Z,2026-08-08T18:51:15Z,https://github.com/apache/superset/pull/41843
41921,aminghadersohi,False,feature,feat(mcp): add observability to MCP service,2026-07-10T04:08:24Z,2026-08-05T18:52:35Z,https://github.com/apache/superset/pull/41921
41964,rusackas,False,fix,fix(sqla): drop stale main_dttm_col from dttm_cols when non-temporal (#30510),2026-07-11T18:15:36Z,2026-08-12T02:38:54Z,https://github.com/apache/superset/pull/41964
42053,SBIN2010,False,feature,feat: Color Picker replaces the color selection drop-down list in conditional formatting,2026-07-14T21:24:43Z,2026-08-07T23:00:56Z,https://github.com/apache/superset/pull/42053
42087,sha174n,False,fix,fix(dataset): validate stored column and metric expressions at query time,2026-07-15T18:02:21Z,2026-08-11T20:48:27Z,https://github.com/apache/superset/pull/42087
42089,sadpandajoe,False,fix,fix(reports): preserve Slack v1 private-channel text delivery,2026-07-15T20:26:09Z,2026-08-12T21:42:57Z,https://github.com/apache/superset/pull/42089
42097,justinpark,False,other,perf(TimeTable): skip rendering TableView while the window is resizing,2026-07-16T01:36:58Z,2026-08-05T17:41:40Z,https://github.com/apache/superset/pull/42097
42142,rusackas,False,fix,fix(dashboard): keep refresh_frequency set via the Advanced JSON editor (#42116),2026-07-17T17:37:25Z,2026-08-03T19:00:40Z,https://github.com/apache/superset/pull/42142
42202,rusackas,False,fix,fix(SafeMarkdown): let htmlSchemaOverrides replace matching default attribute rules,2026-07-18T15:08:12Z,2026-08-05T06:10:14Z,https://github.com/apache/superset/pull/42202
42211,brodmart,False,fix,fix(models): purge_oauth2_tokens filters on wrong column,2026-07-18T23:17:59Z,2026-08-07T18:04:12Z,https://github.com/apache/superset/pull/42211
