sha,date,author,dependabot,category,title,url
4511c1381930ec53cd74c1e25c3ad4397768e2b4,2026-09-20T03:15:59Z,dependabot[bot],True,dependency,chore(deps-dev): bump psycopg2-binary from 2.9.12 to 2.9.13 (#44444),https://github.com/apache/superset/commit/4511c1381930ec53cd74c1e25c3ad4397768e2b4
db556ec66eb9c354ea6c33b8df8c1161f49a7d9a,2026-09-20T01:30:25Z,dependabot[bot],True,dependency,chore(deps): bump pyjwt from 2.13.0 to 2.14.0 (#44442),https://github.com/apache/superset/commit/db556ec66eb9c354ea6c33b8df8c1161f49a7d9a
253eef33d5d16a999b0acc95ab39218d3f8cb573,2026-09-19T23:44:03Z,eschutho,False,fix,fix(databricks): prefer python-connector spec over legacy Hive spec for unrecognized drivers (#44449),https://github.com/apache/superset/commit/253eef33d5d16a999b0acc95ab39218d3f8cb573
f170d2670e55858c48c16902a0122022947431a7,2026-09-19T22:16:22Z,dependabot[bot],True,dependency,chore(deps): bump baseline-browser-mapping from 2.11.21 to 2.11.22 in /docs (#44418),https://github.com/apache/superset/commit/f170d2670e55858c48c16902a0122022947431a7
43fee87672297d2217ad297b1e80042a4358074b,2026-09-19T13:48:46Z,mikebridge,False,other,test(versioning): mock the restore locking re-read in the #44253 LookupError tests (fixes red master) (#44445),https://github.com/apache/superset/commit/43fee87672297d2217ad297b1e80042a4358074b
128c0c159ab8a1157e1f0688b43ba16b0c034889,2026-09-19T00:51:00Z,aminghadersohi,False,fix,fix(mcp): rebuild full parent chains in dashboard layouts (#44405),https://github.com/apache/superset/commit/128c0c159ab8a1157e1f0688b43ba16b0c034889
5ecb19cf92ae8dedbf5b33ec92324cc77c4ee10e,2026-09-18T22:35:47Z,mikebridge,False,fix,fix(mcp): pre-validate metric/dimension compatibility in semantic-view get_table (#44265),https://github.com/apache/superset/commit/5ecb19cf92ae8dedbf5b33ec92324cc77c4ee10e
2e1cf8a72c46f888b8f2c046ccce2e9e21156ee8,2026-09-18T21:50:40Z,mikebridge,False,fix,fix(versioning): map the restore registry guard's LookupError to 422 instead of 500 (#44253),https://github.com/apache/superset/commit/2e1cf8a72c46f888b8f2c046ccce2e9e21156ee8
062bf948e59849397fe12ea9b03d255c1002eda3,2026-09-18T20:34:59Z,mikebridge,False,fix,fix(semantic-layer): preserve independent source permissions (#43887),https://github.com/apache/superset/commit/062bf948e59849397fe12ea9b03d255c1002eda3
43f85576d99380bb7f7e4180041850a45b26c6e4,2026-09-18T19:35:53Z,mikebridge,False,fix,fix(semantic-layer): mapper honors the SemanticView ABC contract (#43886),https://github.com/apache/superset/commit/43f85576d99380bb7f7e4180041850a45b26c6e4
9d4db452551a65a57e353fc98bce270dd201be95,2026-09-18T19:32:28Z,mikebridge,False,fix,fix(charts): allow saving charts on semantic views (create/update rejected non-table datasource types) (#44416),https://github.com/apache/superset/commit/9d4db452551a65a57e353fc98bce270dd201be95
ae5d8d89a3812be752c839da83fd39864fe8aa54,2026-09-18T18:16:38Z,mikebridge,False,fix,"fix(datasets): return 400, not 500, for a body-less purge POST; point the database-delete refusal at the purge flow (#44264)",https://github.com/apache/superset/commit/ae5d8d89a3812be752c839da83fd39864fe8aa54
627f32ca6256d473138370bd6fcaac69108fd83c,2026-09-18T18:15:59Z,mikebridge,False,fix,"fix(versioning): mount the dashboard version-history panel inside the content area, below the header (#44255)",https://github.com/apache/superset/commit/627f32ca6256d473138370bd6fcaac69108fd83c
8947d3b3763528bc0858f5fa015b4469d0b322cb,2026-09-18T18:14:17Z,mikebridge,False,fix,fix(semantic-layers): mask nested and union secrets in layer configuration (#43827),https://github.com/apache/superset/commit/8947d3b3763528bc0858f5fa015b4469d0b322cb
e4bbd3973a207ba61f84b5c0591f5231b9fd34b7,2026-09-18T18:13:42Z,mikebridge,False,fix,fix(charts): type-aware datasource access parity for the chart list (#43848),https://github.com/apache/superset/commit/e4bbd3973a207ba61f84b5c0591f5231b9fd34b7
4bb51d7669421369bc99e3923f6f0a4d1f8589d1,2026-09-18T18:13:15Z,mikebridge,False,other,test(mcp): pin distinct cache keys for semantic-view get_table across time ranges (#44263),https://github.com/apache/superset/commit/4bb51d7669421369bc99e3923f6f0a4d1f8589d1
b7f1bdd571cd37040dd0367619f1a8ce4d1d2637,2026-09-18T18:12:26Z,mikebridge,False,fix,fix(mcp): keep the default list_metrics page under the response-token cap (#44266),https://github.com/apache/superset/commit/b7f1bdd571cd37040dd0367619f1a8ce4d1d2637
